AUDIENCE,COMPARISON_POPULATION,COMMUNITY,PERC_AUDIENCE,MEDIAN_SPEND_PER_CUSTOMER,SPC,SPP,PPC,PERC_COMPARISON,COMPARISON_MEDIAN_SPEND_PER_CUSTOMER,COMPARISON_SPC,COMPARISON_SPP,COMPARISON_PPC,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Olympics Fans,0.007491,92.31,202.95,101.48,2.000000,0.020254,35.41,174.53,67.54,2.584101,36.99,116.28,150.25,77.4,95.23
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Olympics Fans,0.007491,92.31,202.95,101.48,2.000000,0.007574,34.95,155.66,65.28,2.384673,98.90,130.38,155.46,83.87,117.1525
Current Season Ticket Member,General Population,Olympics Fans,0.007491,92.31,202.95,101.48,2.000000,0.004234,66.14,158.11,68.11,2.321459,176.92,128.36,149,86.15,135.1075
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Pickleball,0.007491,164.72,236.04,157.36,1.500000,0.003183,37.21,183.57,83.76,2.191659,235.34,128.58,187.87,68.44,155.0575
Current Season Ticket Member,General Population,Pickleball,0.007491,164.72,236.04,157.36,1.500000,0.003838,58.11,137.19,61.85,2.218002,195.18,172.06,254.41,67.63,172.32
Current Season Ticket Member,NWSL Fans,Pickleball,0.007491,164.72,236.04,157.36,1.500000,0.014284,30.14,170.49,57.11,2.985269,52.44,138.45,275.53,50.25,129.1675
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Pickleball,0.007491,164.72,236.04,157.36,1.500000,0.005174,56.55,240.35,117.39,2.047438,144.78,98.21,134.05,73.26,112.575
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Sober Curious,0.007491,119.63,408.21,116.63,3.500000,0.006411,52.99,193.38,68.85,2.808576,116.85,211.09,169.39,124.62,155.4875
Current Season Ticket Member,NWSL Fans,Sober Curious,0.007491,119.63,408.21,116.63,3.500000,0.005892,52.43,186.63,68.16,2.73829,127.14,218.72,171.12,127.82,161.2
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Sober Curious,0.007491,119.63,408.21,116.63,3.500000,0.002155,53.13,185.1,68.11,2.717562,347.61,220.53,171.23,128.79,217.04
Current Season Ticket Member,General Population,Sober Curious,0.007491,119.63,408.21,116.63,3.500000,0.000988,78.54,172.59,70.58,2.445479,758.20,236.52,165.25,143.12,325.7725
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Swimming,0.007491,92.31,186.22,93.11,2.000000,0.003348,85.36,196.1,108.2,1.812317,223.75,94.96,86.05,110.36,128.78
Current Season Ticket Member,NWSL Fans,Swimming,0.007491,92.31,186.22,93.11,2.000000,0.004233,87.35,185.57,103.73,1.788916,176.97,100.35,89.76,111.8,119.72
Current Season Ticket Member,General Population,Swimming,0.007491,92.31,186.22,93.11,2.000000,0.000721,102.23,207.72,121.16,1.714488,1038.97,89.65,76.85,116.65,330.53
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Swimming,0.007491,92.31,186.22,93.11,2.000000,0.001288,85.9,202.77,112.55,1.801535,581.60,91.84,82.73,111.02,216.7975
Single Match Buyers and Attendees,NWSL Fans,Player Fan,0.010351,24.22,196.88,57.31,3.435185,0.019466,65.49,180.08,93.48,1.926458,53.17,109.33,61.31,178.32,100.5325
Single Match Buyers and Attendees,General Population,Crypto Investors,0.010255,11.67,1171.04,96.76,12.102804,0.013164,219.45,2189.12,193.61,11.306809,77.90,53.49,49.98,107.04,72.1025
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Crypto Investors,0.010255,11.67,1171.04,96.76,12.102804,0.021982,56.88,2025.42,192.22,10.536847,46.65,57.82,50.34,114.86,67.4175
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Crypto Investors,0.010255,11.67,1171.04,96.76,12.102804,0.015877,55.87,2627.03,221.87,11.840256,64.59,44.58,43.61,102.22,63.75
Single Match Buyers and Attendees,NWSL Fans,Crypto Investors,0.010255,11.67,1171.04,96.76,12.102804,0.021280,54.08,1608.59,176.31,9.123521,48.19,72.8,54.88,132.65,77.13
Single Match Buyers and Attendees,General Population,Gun owners,0.010063,90.75,1106.52,177.92,6.219048,0.012477,268.59,810.21,220.93,3.667218,80.65,136.57,80.53,169.58,116.8325
